sector,region,size,multiestablishment_firm,fiscal_year,fiscal_month,fiscal_day,last_fiscal_year,legal_status,other_status,percentage_ownership,owner_manager,number_companies_owned,private_foreing_companies,government_company,other_company,female_owner,family_ownership,ceo_politician,support_group,year_established,fte_started,formal_year,manager_experience,top_manager_female,age_top_manager,education_top_manager,citizenship_top_manager,multinational_exp_top_manager,quality_certification,name_quality_certification,electrical_connection,power_outages,own_generator,application_water_connection,website,electricity_obstacle,main_activity,main_product,percentage_sales_main_product,sales,sales_description,sales_2years_ago,direct_sales,direct_sales_phone,direct_sales_online,direct_sales_other,national_sales,indirect_exports,direct_exports,losses_theft_products,domestic_supplies,foreign_supplies,technology_supply_chain,formal_planning,taxes_prevent_growth,labor_reg_prevent_growth,market_demand_prevent_growth,transport_obstacle_ops,customs_obstacle_ops,main_solutions,kpis,production_targets,performance_bonus,promotions,time_dismissed,main_market,competitors,foreign_technology,informal_competitors,obstacle_informal_competitors,product_innovation,product_inn_market,product_inn_description,prod_inn_description2,process_innovation,process_inn_description,process_inn_description2,r&d,r&d_intensity,closing_covid,own_building,own_land,construction_permit,access_land_obstacle,security,losses_fraudulent_transactions,obstacle_crime,internal_funds_workingcapital,bank_loans_workingcapital,other_loans_workingcapital,suppliers_customers_workingcapital,other_source_workingcapital,fixed_assets,savings_account,overdraft_facility,credit_line,outstanding_personal_loans,application_loans,certified_fin_statements,obstacle_access_finance,opinion_court_system,manager_timespent_regulations,tax_inspection,online_tax_payment,tax_officials_impartial,tax_officials_transparent,raised_complaints,government_contract,percentage_informal_payments,import_lic,operating_licence,payments_votes,payments_content_decrees,payments_votes_localdecrees,public_support,other_public_support_descrip,obtacle_tax_rates,obtacle_tax_adm,obtacle_permits,obstacle_political_inestability,obstacle_corruption,obstacle_occup_safety,obstacle_healthy_reg,obstacle_environment_reg,obstacle_courts,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_safety_pos,j30_health_pos,j30_environment_pos,permanent_fte,permanent_fte_lastyear,foreing_languages,interpersonal_skills,managerial_skilss,it_skilss,engineering_skilss,technical_skilss,EUl2_language_pos,EUl2_interpersonal_pos,EUl2_probsolve_pos,EUl2_manage_pos,EUl2_comp_pos,EUl2_math_pos,EUl2_tech_pos,temporal_workers,training,vacancies,EUl8_language_pos,EUl8_interpersonal_pos,EUl8_probsolve_pos,EUl8_manage_pos,EUl8_comp_pos,EUl8_math_pos,EUl8_tech_pos,obstacle_labor_reg,obstacle_educated_workers,biggest_obstacle,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,labor,cost_elctricity,weeks_remain_open,machinery_value
Retail services,East Netherlands,Medium,Yes,2019,12,31,March,Shareholding company with non-traded shares or shares traded privately,,80,Yes,Don't know (spontaneous,0,0,0,Yes,80,No,Yes,2014,100,2014,30,No,56,Post-graduate degree (Master or Doctorate),Yes,Yes,No,,No,No,No,No,Yes,No obstacle,Retail trade of ,"Distributing Animal And Garden Supplies, Plants",100,146000000.0,One Hundred Forty Six Million,126000000,85,0,15,0,98,0,2,No losses,97,3,Database of suppliers manually updated using computers with general purpose software,No,No,No,No,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,Yes,Yes,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",Rarely or never,National â main product sold mostly across the country where establishment is located,3.0,Yes,No,No obstacle,No,0,,,Yes,"New, Modern Cash Registers, Price Management Innovated, Customer-Specific Marketing",Completely New,No,0,0,0,0,No,No obstacle,Yes,No,No obstacle,30,20,0,40,10,Yes,Yes,Yes,Yes,Yes,No,Yes,Moderate obstacle,Strongly agree,10,No,Yes,Tend to agree,Strongly agree,Tend to agree,No,0.0,No,No,No impact,No impact,No impact,0,,Minor obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,9,4,7,5,1,2,3,8,6,140,134,Above required,As required,As required,Above required,As required,As required,6,4,1,5,7,2,3,No full-time seasonal or temporary workers,Yes,Yes,6,4,1,5,7,2,3,Minor obstacle,Major obstacle,Access to land,9,4,7,10,11,14,13,8,6,5,12,1,15,2,3,26800000,1000000,0.0,0.0
Other services,East Netherlands,Medium,No,2020,12,31,January,Shareholding company with non-traded shares or shares traded privately,,100,Yes,None (This is the first),0,0,0,No,100,No,Yes,1991,2,1991,30,No,54,Secondary/technical/vocational training,Yes,No,No,,No,No,No,No,Yes,No obstacle,Wholesale trade of ,Import And Export Of Artificial Flowers And Plants,100,12300000.0,Twelve Million Three Hundred Thousand,12400000,20,5,10,65,45,0,55,No losses,0,100,NOT APPLICABLE,No,No,No,No,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,No,No,-7,Within 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,5.0,No,No,No obstacle,No,0,,,Yes,Improvement Of The Warehouse Software So That Work Can Be Done More Efficiently.,Less Efficient Software Was Used In The Warehouse.,No,0,0,100,100,No,No obstacle,Yes,No,No obstacle,70,30,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes,No obstacle,Strongly agree,1,No,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,No,No impact,No impact,No impact,1,,Minor obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Moderate obstacle,No obstacle,Moderate obstacle,No obstacle,3,5,7,1,2,8,6,4,9,30,30,As required,As required,As required,As required,Does not apply (spontaneous),As required,3,7,5,1,2,4,6,3,Yes,Yes,3,7,5,1,2,4,6,No obstacle,No obstacle,Business licensing and permits,11,12,1,7,13,8,6,14,9,15,3,5,2,4,10,1500000,30000,25.0,0.0
Manufacturing,East Netherlands,Medium,Yes,2019,12,31,October,Shareholding company with non-traded shares or shares traded privately,,19,No,Don't know (spontaneous,100,0,0,Don't know (spontaneous),No family ownership,No,Yes,1930,Don't know (spontaneous),1930,25,No,50,Post-graduate degree (Master or Doctorate),Yes,No,No,,No,No,No,No,Yes,No obstacle,Manufacturing of ,Production Of Conveyor Belts For Food And Beverage Industry,100,12000000.0,Twelve Million,11000000,0,60,30,10,15,0,85,No losses,95,5,Database of suppliers manually updated using computers with general purpose software,Yes,No,No,No,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,Promotions were based solely on performance and ability,DOES NOT APPLY (SPONTANEOUS),International,7.0,No,No,No obstacle,Yes,1,Improved Hygiene And Safety Materials,Other Types Of Material And Technology Easier To Clean And Safer For The User,No,,,Yes,150000.0,0,0,0,No,No obstacle,No,No,No obstacle,100,0,0,0,0,Yes,Yes,No,No,No,No,Yes,No obstacle,Strongly agree,1,No,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,9,3,8,6,2,4,7,1,5,46,43,As required,As required,As required,As required,As required,As required,5,3,1,6,2,4,7,3,Yes,Yes,5,3,1,6,2,4,7,No obstacle,No obstacle,Inadequately educated workforce,9,3,8,12,2,15,11,1,5,13,7,14,10,6,4,2900000,65000,9.0,4000000.0
Other services,East Netherlands,Medium,Yes,2019,12,31,September,Shareholding company with non-traded shares or shares traded privately,,100,Yes,None (This is the first),0,0,0,No,100,No,Yes,1946,1,1946,10,No,37,Bachelorâs degree,Yes,No,No,,No,No,No,No,Yes,Minor obstacle,Wholesale trade of ,Supplier Of Machines And Accessories In The Food Industry,70,10000000.0,Ten Million,9500000,10,0,0,90,98,0,2,No losses,30,70,E-procurement with electronic orders integrated to specialized supply chain management systems,No,No,No,Yes,Minor obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,Yes,Yes,Promotions were based solely on performance and ability,DOES NOT APPLY (SPONTANEOUS),National â main product sold mostly across the country where establishment is located,20.0,No,No,No obstacle,No,0,,,No,,,No,0,0,100,100,No,Minor obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,No,No,No,No,Yes,No obstacle,Tend to agree,5,No,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,No,No impact,No impact,No impact,0,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,9,8,2,4,7,3,5,6,1,27,26,As required,As required,As required,As required,As required,Above required,6,2,1,4,7,3,5,No full-time seasonal or temporary workers,Yes,Yes,6,2,1,4,7,3,5,No obstacle,Minor obstacle,Inadequately educated workforce,3,15,12,13,7,10,5,6,1,11,8,2,14,4,9,2700000,21000,52.0,0.0
Manufacturing,East Netherlands,Medium,No,2019,12,31,October,Shareholding company with non-traded shares or shares traded privately,,100,No,1,100,0,0,No,No family ownership,No,No,1992,8,1986,30,No,54,Post-graduate degree (Master or Doctorate),Yes,No,Yes,Iso9000,No,No,No,No,Yes,No obstacle,Manufacturing of ,Metal Parts For The Construction Industry,100,20000000.0,Twenty Million,15000000,0,100,0,0,100,0,0,No internal shipments made (does not apply),0,100,Database of suppliers manually updated using computers with general purpose software,Yes,No,No,No,Moderate obstacle,Minor obstacle,We fixed it and took action to make sure it did not happen again,Yes,Yes,No,Promotions were based solely on performance and ability,DOES NOT APPLY (SPONTANEOUS),National â main product sold mostly across the country where establishment is located,5.0,No,No,No obstacle,No,0,,,No,,,No,0,0,0,0,No,No obstacle,Yes,No,No obstacle,80,0,0,20,0,Yes,Yes,No,No,No,No,Yes,No obstacle,Strongly disagree,3,No,Yes,Strongly disagree,Strongly disagree,Does not apply,No,0.0,No,No,No impact,No impact,No impact,0,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,8,1,9,3,4,5,6,2,7,28,26,As required,As required,As required,As required,As required,As required,2,7,1,3,4,5,6,No full-time seasonal or temporary workers,Yes,Yes,2,7,1,3,4,5,6,No obstacle,Major obstacle,Inadequately educated workforce,13,1,9,11,15,10,6,12,7,14,3,2,8,5,4,2000000,3000,0.0,300000.0
Other services,South Netherlands,Medium,No,2019,12,31,August,Shareholding company with non-traded shares or shares traded privately,,99,No,4,0,0,0,Yes,100,Yes,Yes,2002,1,2002,33,No,56,Bachelorâs degree,Yes,Yes,Yes,Oeko-Tex,No,Yes,No,No,Yes,No obstacle,Wholesale trade of ,"Designing And Coordinating And Quality Control And Development Of Sportswear By And Outdoor Clothing, Owner Of +20 Fashion Retail Stores",85,12000000.0,Twelve Million,15000000,0,5,0,95,40,0,60,No losses,0,100,Manual search of suppliers without storing supplierâs information in centralized database,Yes,No,No,Yes,Minor obstacle,Minor obstacle,We fixed it and took action to make sure it did not happen again,Yes,Yes,Yes,Promotions were based solely on performance and ability,After 6 months of identifying non-manager under-performance,International,10.0,Yes,No,Minor obstacle,Yes,1,"Sustainable Way Of Producing Sports And Outdoor Clothing, E.G. Reuse Of Coffee Grounds And Coconut Husks Replace Chemical Dyeing Processes With Dip Dyeing",In The Past There Was More Use Of Chemicals And As A Result There Was More Polluted Waste Water In The Production Of Sports And Outdoor Clothing,Yes,Replace Chemical Dyeing Processes Of Clothing With Dip-Dyeing Of Clothing,Brand New,Yes,300000.0,0,0,0,Yes,No obstacle,Yes,No,No obstacle,40,30,0,30,0,Yes,Yes,Yes,Yes,Yes,No,No,No obstacle,Tend to agree,5,No,Yes,Tend to agree,Tend to agree,Does not apply,Yes,0.0,Yes,No,No impact,No impact,No impact,1,,Major obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,2,3,7,8,5,4,6,9,1,35,32,As required,As required,As required,As required,Does not apply (spontaneous),As required,2,3,7,1,5,4,6,2,Yes,Yes,2,3,7,1,5,4,6,Minor obstacle,Moderate obstacle,Inadequately educated workforce,2,10,12,8,15,14,6,9,11,3,1,13,7,4,5,1200000,36000,20.0,0.0
Manufacturing,South Netherlands,Large,Yes,2019,12,31,July,Shareholding company with non-traded shares or shares traded privately,,47,No,None (This is the first),0,0,0,No,84,No,Yes,1934,Don't know (spontaneous),1949,8,No,40,Post-graduate degree (Master or Doctorate),Yes,No,No,,No,No,No,No,Yes,Minor obstacle,Manufacturing of ,"We Make Seating Furniture And Sell It All Over The World. The Seating Furniture Is Made Of Wood, Fabric, Leather, Foam, Iron Legs",95,40308000.0,Forty  Million Three Hundred Eight Thousand,39659000,100,0,0,0,64,0,36,No losses,40,60,Supplier Relation Management software (SRM),Yes,No,No,Yes,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,No,Promotions were based solely on performance and ability,After 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,20.0,No,No,No obstacle,Yes,1,New Bank. New Model Sofa. Design,"Model Program Where People Have Many Options. Eg High, Low, Hard, Soft Etc",No,,,Yes,2000000.0,0,0,0,No,No obstacle,Yes,No,No obstacle,36,10,0,6,48,Yes,Yes,Yes,Yes,No,No,Yes,Moderate obstacle,Strongly agree,1,Yes,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,Yes,Does not apply,Does not apply,Does not apply,1,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,5,4,2,1,8,7,3,6,9,302,295,As required,As required,As required,As required,As required,As required,5,4,2,6,1,7,3,7,No,Yes,5,4,2,6,1,7,3,No obstacle,Major obstacle,Inadequately educated workforce,10,12,2,5,13,7,3,6,11,14,15,1,8,4,9,16112000,295000,12.0,8000000.0
Retail services,South Netherlands,Large,Yes,2019,12,31,,Shareholding company with non-traded shares or shares traded privately,,100,Yes,5,0,0,0,No,100,No,No,2014,88,2014,27,No,49,Bachelorâs degree,Yes,No,Don't know (spontaneous),,Yes,No,Yes,No,No,No obstacle,Retail trade of ,"Sale Of Fuel, Sandwich, Car Related Articles, Confectionery, Drink, Smoking Materials(Probably Better To Move To Retail Sector Instead Of Wholesale Sector - And To Recontact To Fill Out G5 And N2I)",80,114000000.0,One Hundred Fourteen Million,96500000,100,0,0,0,100,0,0,No internal shipments made (does not apply),95,5,Other,No,No,No,No,Minor obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,Promotions were based solely on performance and ability,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,0,No,No,No obstacle,Yes,0,Electric Charging Stations Offered To Customers,"Extension Of Offering With Electric, Not Only Fossil Fuels",No,,,No,0,0,35,35,No,No obstacle,Yes,Yes,Minor obstacle,85,0,0,15,0,Yes,Yes,Yes,Yes,No,No,Yes,Minor obstacle,Strongly agree,20,Yes,Yes,Tend to agree,Strongly agree,Does not apply,Yes,0.0,No,Yes,Does not apply,Does not apply,Does not apply,0,,Minor obstacle,Minor obstacle,Moderate obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,7,4,8,6,2,9,1,3,5,129,90,As required,As required,As required,As required,Does not apply (spontaneous),Does not apply (spontaneous),7,1,3,6,2,4,5,No full-time seasonal or temporary workers,Yes,Yes,7,1,3,6,2,4,5,Moderate obstacle,Major obstacle,Inadequately educated workforce,12,4,8,6,15,14,1,11,13,9,3,7,5,10,2,5100000,322000,0.0,0.0
Other services,South Netherlands,Small,Yes,2019,12,31,September,Shareholding company with non-traded shares or shares traded privately,,50,Yes,2,0,0,0,No,No family ownership,No,Yes,1997,6,2001,20,No,49,Bachelorâs degree,Yes,No,Yes,Iso 14000,No,No,No,No,Yes,No obstacle,Wholesale trade of ,"We Deal In Products Related To The Cultivation And Sale Of Plants. Eg Vegetables, Trees, Ornamental Plants, Fruit Trees. We Trade In Products For The Cultivation Of Plants",15,16614000.0,Sixteen Million Six Hundred Fourteen Thousand,15786000,5,0,0,95,60,35,5,Don't know (spontaneous),70,30,E-procurement with electronic orders integrated to specialized supply chain management systems,No,No,No,No,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,No,Promotions were based solely on performance and ability,DOES NOT APPLY (SPONTANEOUS),National â main product sold mostly across the country where establishment is located,7.0,No,No,No obstacle,No,0,,,Yes,Especially New Cultivation Aids. Biostimulants. Plant Enhancers,Different Kind Of Product,No,0,0,0,0,No,No obstacle,Yes,No,No obstacle,0,100,0,0,0,Yes,Yes,Yes,No,No,No,Yes,Minor obstacle,Tend to agree,15,No,Yes,Strongly agree,Strongly agree,Strongly agree,No,0.0,No,No,Minor impact,No impact,No impact,0,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,3,4,6,8,1,2,9,5,7,22,21,As required,As required,As required,As required,Does not apply (spontaneous),As required,3,4,6,1,7,2,5,No full-time seasonal or temporary workers,Yes,Yes,3,4,6,1,7,2,5,No obstacle,Major obstacle,Inadequately educated workforce,3,13,12,8,11,15,10,5,7,9,14,6,4,1,2,1710000,13000,13.0,0.0
Retail services,West Netherlands,Medium,Yes,2019,12,31,January,Shareholding company with non-traded shares or shares traded privately,,100,No,None (This is the first),0,0,0,No,55,No,Yes,1997,1,1997,25,No,47,Secondary/technical/vocational training,Yes,No,No,,Yes,Yes,No,No,Yes,No obstacle,Retail trade of ,Design And Sale Of Busts And Various Mannequins For The Presentation Of Clothing In The Clothing Industry,95,22300000.0,Twenty Two Million Three Hundred Thousand,25000000,5,0,0,95,20,40,40,No losses,100,0,Supplier Relation Management software (SRM),Yes,No,No,Yes,Moderate obstacle,Major obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,-7,DOES NOT APPLY (SPONTANEOUS),International,5.0,No,Yes,Moderate obstacle,Yes,1,Developing And Printing Display Window Figures In 3D,Completely New,Yes,Introduction Of Partner Network,Brand New,Yes,100000.0,0,100,100,Yes,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,No,Yes,No,No,Yes,No obstacle,Strongly agree,5,No,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Minor impact,1,,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,2,7,4,8,6,1,9,3,5,38,30,As required,As required,As required,Below required,Does not apply (spontaneous),As required,2,7,4,3,6,1,5,No full-time seasonal or temporary workers,Yes,Yes,2,7,4,3,6,1,5,No obstacle,Minor obstacle,Transport,12,7,4,11,6,14,9,3,5,13,8,2,10,15,1,3300000,18000,52.0,0.0
Other services,West Netherlands,Medium,No,2019,12,31,November,Shareholding company with non-traded shares or shares traded privately,,50,Yes,None (This is the first),0,0,0,No,100,No,Yes,2000,2,2000,20,No,45,Bachelorâs degree,Yes,No,No,,No,No,No,No,Yes,No obstacle,Wholesale trade of ,"Sales, Maintenance Of Dental Equipment",100,4500000.0,Four Million Five Hundred Thousand,3800000,0,70,0,30,95,0,5,No losses,0,100,Manual search of suppliers without storing supplierâs information in centralized database,Yes,No,No,Yes,No obstacle,Minor obstacle,We fixed it and took action to make sure it did not happen again,Yes,Yes,No,Non-managers are normally not promoted,Within 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,10.0,No,No,No obstacle,Yes,0,Introduced New Treatment Units,All In One Dental Office Solution For Multiple Chairs With One Unit,Yes,Service Improved Annual Services,From Reactive To Proactive,No,0,0,100,100,No,No obstacle,Yes,No,No obstacle,40,40,0,20,0,Yes,Yes,Yes,Yes,No,No,Yes,No obstacle,Strongly agree,No time was spent,No,Yes,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,5,8,1,9,3,4,6,7,2,17,15,As required,Below required,Below required,As required,Does not apply (spontaneous),As required,7,5,1,2,3,4,6,No full-time seasonal or temporary workers,No,Yes,7,5,1,2,3,4,6,No obstacle,Major obstacle,Inadequately educated workforce,5,8,10,11,12,4,6,13,15,14,9,3,7,1,2,1250000,2500,8.0,0.0
Other services,West Netherlands,Large,Yes,2019,12,31,May,Shareholding company with non-traded shares or shares traded privately,,100,No,60,100,0,0,Don't know (spontaneous),No family ownership,No,Yes,1919,Don't know (spontaneous),1919,19,No,59,Post-graduate degree (Master or Doctorate),Yes,Yes,Yes,"Iso 9001, Vca, Iso 7936",Yes,No,No,No,Yes,Minor obstacle,Wholesale trade of ,"Sale Of Safety Products Ie Measuring Equipment And Compressed Air, Etc. Respiratory Equipment",65,81100000.0,Eighty One Million One Hundred Thousand,81900000,95,0,0,5,97,0,3,No losses,10,90,Supplier Relation Management software (SRM),Yes,No,No,Yes,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,-7,Rarely or never,National â main product sold mostly across the country where establishment is located,10.0,No,No,No obstacle,No,0,,,Yes,All Business Support Processes In The Back Office Are Harmonized And Consolidated.,"Three Systems Are Now Automatically Linked, Which Increases Efficiency",No,0,0,0,0,No,No obstacle,Yes,No,Minor obstacle,0,0,0,100,0,Yes,Yes,No,No,No,No,Yes,No obstacle,Tend to agree,5,No,Yes,Strongly agree,Tend to agree,Strongly agree,Yes,0.0,No,No,No impact,No impact,No impact,1,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,4,3,5,2,1,9,6,7,8,395,377,As required,As required,As required,As required,Does not apply (spontaneous),Above required,4,3,6,2,1,5,7,No full-time seasonal or temporary workers,Yes,Yes,4,3,6,2,1,5,7,Minor obstacle,Moderate obstacle,Inadequately educated workforce,14,3,10,2,1,13,6,12,11,5,8,7,9,15,4,28491000,200000,12.0,0.0
Other services,East Netherlands,Medium,No,2019,12,31,September,Shareholding company with non-traded shares or shares traded privately,,80,Yes,None (This is the first),0,0,0,No,80,No,Yes,1998,2,1998,31,No,58,Primary,Yes,No,No,,No,No,No,No,Yes,No obstacle,Provide services of ,Offering Tailor-Made Travel To The Us And Canada,100,25000000.0,Twenty Five Million,17500000,15,85,0,0,100,0,0,No internal shipments made (does not apply),Don't know (spontaneous),Don't know (spontaneous),E-procurement with electronic orders integrated to specialized supply chain management systems,No,No,Yes,No,Does not apply,Does not apply,We fixed it and took action to make sure it did not happen again,No,Yes,No,Non-managers are normally not promoted,After 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,8.0,No,No,No obstacle,No,0,,,Yes,Introducing A Working Cancellation Process Related To Covid-19,Brand New,Yes,150000.0,0,100,100,No,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,No,No,No,No,Yes,No obstacle,Strongly agree,3,No,Yes,Strongly agree,Does not apply,Does not apply,No,0.0,No,No,No impact,No impact,No impact,1,,No obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,1,7,2,3,6,4,9,5,8,7,5,As required,As required,As required,As required,Does not apply (spontaneous),As required,1,7,2,3,6,4,5,33,No,Yes,1,7,2,3,6,4,5,No obstacle,No obstacle,Political instability,15,6,14,10,1,7,13,5,8,11,12,4,9,2,3,1300000,3000,25.0,0.0
Other services,East Netherlands,Medium,Yes,2019,12,31,January,Shareholding company with non-traded shares or shares traded privately,,38,Yes,1,0,0,0,No,No family ownership,No,Yes,2016,2,2016,2,No,29,Bachelorâs degree,Yes,No,No,,No,No,No,No,Yes,No obstacle,Provide services of ,Software Development For Various Industries Through The Deployment Of Young Professionals,95,840000.0,Eight Hundred Forty Thousand,500000,0,0,50,50,100,0,0,No losses,Don't know (spontaneous),Don't know (spontaneous),Database of suppliers manually updated using computers with general purpose software,Yes,No,Yes,Yes,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,Yes,No,Promotions were based solely on performance and ability,After 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,0.0,No,No,No obstacle,Yes,1,"Supporting, Coaching And Guiding Young Professionals With An Information Technology Background",Completely New,No,,,Yes,10000.0,0,0,Does not apply is a floor in a building (spontaneous),No,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,Yes,No,No,No,Yes,No obstacle,Strongly agree,10,No,Yes,Tend to agree,Strongly agree,Does not apply,No,0.0,No,No,No impact,No impact,No impact,0,,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,2,3,9,1,7,8,4,6,5,14,7,Above required,Below required,As required,Above required,Above required,As required,2,3,4,5,7,6,1,40,Yes,Yes,2,3,4,5,7,6,1,Moderate obstacle,Minor obstacle,Does not apply,2,3,9,11,7,13,4,6,14,12,1,8,15,5,10,350000,0,0.0,0.0
Manufacturing,West Netherlands,Small,No,2019,12,31,,Shareholding company with non-traded shares or shares traded privately,,50,Yes,1,0,0,50,No,No family ownership,No,Yes,2010,6,2015,25,No,42,Primary,Yes,No,No,,No,No,No,No,Yes,No obstacle,Manufacturing of ,Worldwide Purchase And Sale Of Audio / Tv Studios,100,400000.0,Four Hundred  Thousand,1000000,0,10,90,0,2,0,98,3,2,98,Other,No,No,No,No,No obstacle,No obstacle,DOES NOT APPLY (SPONTANEOUS),No,No,No,-7,Rarely or never,International,1.0,No,No,No obstacle,Yes,1,New Brands,Is New To This Company,No,,,No,0,0,0,0,No,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,Yes,No,No,No,Yes,No obstacle,Tend to agree,No time was spent,No,Yes,Tend to agree,Strongly agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,0,,No obstacle,Does not apply,No obstacle,Does not apply,Does not apply,No obstacle,No obstacle,Does not apply,No obstacle,4,1,6,2,7,8,9,5,3,6,10,As required,Above required,Above required,As required,Does not apply (spontaneous),Above required,4,1,6,2,7,5,3,No full-time seasonal or temporary workers,No,No,4,1,6,2,7,5,3,No obstacle,No obstacle,Does not apply,4,11,6,15,2,7,13,12,3,14,1,5,9,8,10,250000,3900,0.0,100000.0
